#{"t_start": 1759916674.239432, "env_id": "None"}
r,l,t
1036.158917,500,4809.090943
1117.546723,500,4811.592759
1376.692722,500,4812.495536
1376.664946,500,4813.37531
1000.217542,500,4814.268491
1117.553608,500,4816.746152
1376.600748,500,4817.639678
1000.232116,500,4818.530696
1036.04225,500,4819.422239
1117.517554,500,4821.905013
1117.528055,500,4826.374183
1036.771516,500,4827.255639
1117.491912,500,4828.146184
1376.702091,500,4830.655303
1036.406991,500,4831.552458
1376.697032,500,4832.449864
1376.681324,500,4833.345617
1117.494285,500,4835.854089
1000.229279,500,4836.756798
1036.82764,500,4837.647018
1036.403352,500,4838.54656
1000.233277,500,4841.033477
1376.689294,500,4841.936637
1000.209802,500,4842.808949
1036.405499,500,4843.71136
1117.603058,500,4844.590745
1000.209391,500,4847.074801
1036.748665,500,4847.956786
1117.304656,500,4848.864677
1376.69579,500,4849.744918
1036.57911,500,4852.222592
1036.250942,500,4853.105619
1036.82399,500,4853.992273
1000.228428,500,4854.88302
1376.699627,500,4857.367038
1000.219736,500,4861.84752
1036.40286,500,4862.749137
1117.510197,500,4863.637044
1117.534093,500,4866.294896
1117.56753,500,4867.187332
1000.227381,500,4868.090686
1000.229061,500,4868.973878
1036.159253,500,4872.192894
1376.696067,500,4873.086941
1000.220762,500,4873.977635
1117.563912,500,4874.866386
1036.780516,500,4878.081759
1036.797218,500,4878.962433
1376.681424,500,4879.863531
1376.677262,500,4880.750827
1376.657586,500,4883.974425
1036.467883,500,4884.872475
1117.527766,500,4885.776672
1000.222626,500,4886.668591
1376.663752,500,4889.890124
1000.188961,500,4890.779842
1000.205555,500,4891.671827
1000.210023,500,4892.565758
1000.219568,500,4899.37949
1376.698405,500,4900.270695
1000.209716,500,4901.17976
1036.833551,500,4902.070585
1376.600552,500,4905.305995
1117.505268,500,4906.181064
1117.577234,500,4907.080381
1036.830361,500,4907.961319
1000.224962,500,4908.862896
1036.625159,500,4912.068246
1117.366961,500,4912.994576
1376.686744,500,4913.900117
1000.22665,500,4914.794708
1117.564799,500,4918.021661
1000.191258,500,4918.923385
1000.190234,500,4919.812219
1000.20787,500,4920.736834
1036.715928,500,4923.585445
1376.649142,500,4924.479343
1000.195841,500,4925.366801
1036.770634,500,4926.25988
1117.524166,500,4928.817971
1117.537575,500,4933.303025
1000.208675,500,4934.203843
1117.582641,500,4935.110165
1036.816579,500,4938.306254
1000.214944,500,4939.197432
1036.732273,500,4940.076724
1000.212095,500,4940.964762
1117.452556,500,4943.94349
1117.439423,500,4944.830589
1117.518185,500,4945.706502
1036.652834,500,4946.590801
1117.529991,500,4949.306489
1117.474178,500,4950.206286
1036.251196,500,4951.103802
1000.215447,500,4952.004509
1036.822037,500,4954.591111
1117.424157,500,4955.507385
1000.22522,500,4956.400795
1376.663578,500,4957.290756
1117.553909,500,4959.858791
1331.388581,486,4960.772554
1000.226755,500,4961.671605
1036.364886,500,4962.641086
1036.763411,500,4965.323889
1117.558444,500,4969.847709
1376.627645,500,4970.746605
1000.227975,500,4971.646634
1036.783163,500,4972.541613
